planet_name,hoststar_name,star_count,planet_count,moon_count,circumbinary_flag,discovery_method,discovery_year,discovery_facility,controversial_flag,orbital_period,orbit_semi_major_axis,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,planet_density,planet_orbital_eccentricity,planet_insolation_flux,planet_equilibrium_temperature,spectral_type,stellar_effective_temperature,stellar_radius,stellar_mass,stellar_metallicity,stellar_metallicity_ratio,stellar_luminosity,stellar_surface_gravity,stellar_age,stellar_density,stellar_rotational_velocity,stellar_rotational_period
WASP-158 b,WASP-158,1,1,0,0,Transit,2018,SuperWASP-South,0,3.65633300,0.051700,11.994,1.070,886.74570,2.79000,3.100000,0.000000,903.01,1590,F6 V,6350.00,1.39,1.38,0.240,,0.483,4.30,1.930,0.75000,9.3000,
WASP-159 b,WASP-159,1,1,0,0,Transit,2018,SuperWASP-South,0,3.84040100,0.053800,15.468,1.380,174.80650,0.55000,0.280000,0.000000,1599.92,1850,F9,6120.00,2.11,1.41,0.220,,0.678,3.94,3.400,0.21000,5.7000,
WASP-16 b,WASP-16,1,1,0,0,Transit,2009,SuperWASP,0,3.11860000,0.041500,13.675,1.220,394.10920,1.24000,0.572000,0.000000,481.92,1389,,5700.00,1.14,1.78,0.010,[Fe/H],0.010,4.49,8.600,1.68000,3.2000,
WASP-160 B b,WASP-160 B,2,1,0,0,Transit,2018,SuperWASP-South,0,3.76849520,0.045200,12.218,1.090,88.35674,0.27800,0.284000,0.000000,210.58,1119,K0 V,5298.00,0.87,0.87,0.270,[Fe/H],-0.318,4.50,9.750,1.89000,,
WASP-161 b,WASP-161,1,1,0,0,Transit,2018,SuperWASP-South,0,5.40604250,0.067300,12.812,1.143,791.39670,2.49000,2.200000,,990.00,1557,,6400.00,1.71,1.39,0.160,[Fe/H],0.647,4.11,,0.39800,18.0000,
WASP-162 b,WASP-162,1,1,0,0,Transit,2018,SuperWASP-South,0,9.62468000,0.087100,11.209,1.000,1652.71600,5.20000,6.900000,0.434000,121.92,910,K0,5300.00,1.11,0.95,0.280,,0.054,4.33,12.970,1.00000,1.0000,
WASP-163 b,WASP-163,1,1,0,0,Transit,2018,SuperWASP-South,0,1.60968840,0.026600,13.473,1.202,594.34210,1.87000,1.420000,,1200.00,1638,,5500.00,1.01,0.97,-0.340,[Fe/H],-0.076,4.41,,1.30000,5.0000,
WASP-164 b,WASP-164,1,1,0,0,Transit,2018,SuperWASP-South,0,1.77712550,0.028180,12.644,1.128,676.97790,2.13000,1.960000,0.000000,1043.21,1610,G2 V,5806.00,0.93,0.95,-0.010,[Fe/H],-0.067,4.46,4.080,1.64200,,
WASP-165 b,WASP-165,1,1,0,0,Transit,2018,SuperWASP-South,0,3.46550900,0.048230,14.123,1.260,209.13214,0.65800,0.440000,0.000000,545.16,1624,G6,5599.00,1.75,1.25,0.330,[Fe/H],0.428,3.93,4.770,0.32800,,
WASP-166 b,WASP-166,1,1,0,0,Transit,2019,WASP-South,0,5.44354000,0.064100,7.062,0.630,32.10083,0.10100,0.540000,0.000000,440.00,1270,F9 V,6050.00,1.22,1.19,0.190,[Fe/H],0.283,4.34,2.100,0.92000,5.1000,12.10
WASP-167 b,WASP-167,1,1,0,0,Transit,2017,Multiple Observatories,0,2.02195960,0.036500,17.710,1.580,2542.64000,8.00000,,,6416.64,2329,F1 V,7000.00,1.79,1.59,0.100,[Fe/H],0.897,4.13,1.290,0.39000,49.9400,1.81
WASP-168 b,WASP-168,2,1,0,0,Transit,2018,SuperWASP-South,0,4.15365800,0.051900,16.814,1.500,133.48860,0.42000,0.160000,0.000000,278.89,1340,F9 V,6000.00,1.12,1.08,-0.010,,0.155,4.37,3.960,1.10000,0.3000,
WASP-169 b,WASP-169,1,1,0,0,Transit,2019,WASP-South,0,5.61141180,0.068100,14.617,1.304,178.30263,0.56100,0.330000,0.000000,1486.86,1604,F8,6110.00,2.01,1.34,0.060,[Fe/H],0.789,3.96,3.802,0.23400,4.3000,
WASP-17 b,WASP-17,1,1,0,0,Transit,2009,SuperWASP,0,3.73543000,0.051500,20.961,1.870,247.90740,0.78000,0.082000,0.000000,1292.19,1755,F4,6550.00,1.49,2.28,-0.250,[Fe/H],0.613,4.20,2.650,0.98000,9.9200,
WASP-170 b,WASP-170,1,1,0,0,Transit,2018,SuperWASP-South,0,2.34478022,0.033700,12.285,1.096,508.52800,1.60000,1.600000,,680.00,1422,,5600.00,0.94,0.93,0.220,[Fe/H],-0.114,4.47,,1.58000,5.6000,
WASP-171 b,WASP-171,1,1,0,0,Transit,2019,WASP-South,0,3.81862440,0.050400,10.985,0.980,344.52772,1.08400,1.500000,0.000000,1200.24,1642,G0,5965.00,1.64,1.17,0.040,[Fe/H],0.672,4.08,5.908,0.38100,6.3000,
WASP-172 b,WASP-172,1,1,0,0,Transit,2018,SuperWASP-South,0,5.47743300,0.069400,17.598,1.570,149.38010,0.47000,0.160000,0.000000,1506.50,1740,F1 V,6900.00,1.91,1.49,-0.100,,0.934,4.05,1.790,0.30000,13.7000,
WASP-173 A b,WASP-173 A,2,1,0,0,Transit,2018,SuperWASP-South,0,1.38665318,0.024800,13.451,1.200,1172.79270,3.69000,2.840000,0.000000,1920.00,1880,G3,5800.00,1.11,1.05,0.160,,0.083,4.37,6.780,1.10000,6.1000,
WASP-174 b,WASP-174,1,1,0,0,Transit,2018,SuperWASP-South,0,4.23370050,0.055030,16.107,1.437,104.88337,0.33000,0.135000,0.000000,901.90,1528,F6 V,6399.00,1.35,1.24,0.060,[Fe/H],0.436,4.27,2.200,0.71600,16.2400,
WASP-175 b,WASP-175,1,1,0,0,Transit,2019,WASP-South,0,3.06529070,0.044030,13.540,1.208,314.65170,0.99000,0.740000,0.000000,649.43,1571,F7,6229.00,1.20,1.21,0.150,[Fe/H],0.789,4.36,1.745,0.97700,4.0000,
WASP-176 b,WASP-176,1,1,0,0,Transit,2020,SuperWASP-North,0,3.89905200,0.053500,16.870,1.505,271.74465,0.85500,0.310000,0.000000,1703.24,1721,F9,5941.00,1.93,1.34,0.164,[Fe/H],0.617,4.00,4.810,0.37100,3.8000,
WASP-177 b,WASP-177,1,1,0,0,Transit,2019,SuperWASP,0,3.07172200,0.039570,17.710,1.580,161.45764,0.50800,0.172000,,279.77,1142,K2,5017.00,0.89,0.88,0.250,[Fe/H],-0.412,4.49,9.700,1.78000,1.8000,
WASP-178 b,WASP-178,1,1,0,0,Transit,2019,WASP-South,0,3.34482850,0.055800,20.288,1.810,527.59780,1.66000,0.370000,0.000000,5550.00,2470,A1 IV-V,9360.00,1.67,2.07,0.210,[Fe/H],1.215,4.31,0.430,0.62000,8.2000,
WASP-18 b,WASP-18,2,2,0,0,Transit,2009,SuperWASP,0,0.94145223,0.020240,13.899,1.240,3241.84975,10.20000,6.600000,0.005100,5805.00,2429,F6 IV-V,6432.00,1.32,1.29,0.107,[Fe/H],0.428,4.31,1.570,0.79500,11.0000,
WASP-18 c,WASP-18,2,2,0,0,Transit Timing Variations,2019,Transiting Exoplanet Survey Satellite (TESS),1,2.15580000,0.035000,8.580,0.765,55.20000,0.17368,0.480000,0.015000,,,F6 IV-V,6400.00,1.23,1.22,0.190,[Fe/H],0.383,4.37,1.000,0.69000,11.0000,
WASP-180 A b,WASP-180 A,2,1,0,0,Transit,2019,SuperWASP,0,3.40926400,0.048000,13.899,1.240,286.04700,0.90000,0.610000,0.000000,918.36,1540,F7 V,6600.00,1.19,1.30,0.100,[Fe/H],0.315,4.42,1.200,1.17000,19.9000,3.30
WASP-181 b,WASP-181,1,1,0,0,Transit,2019,SuperWASP,0,4.51950640,0.054270,13.271,1.184,95.03117,0.29900,0.237000,,382.45,1186,G2,5839.00,0.97,1.04,0.090,[Fe/H],0.049,4.49,2.500,1.64000,3.3000,
WASP-182 b,WASP-182,1,1,0,0,Transit,2019,WASP-South,0,3.37698480,0.045100,9.528,0.850,47.03884,0.14800,0.318000,0.000000,756.26,1479,G5,5638.00,1.34,1.08,0.270,[Fe/H],0.155,4.22,5.952,0.63600,1.4000,30.00
WASP-183 b,WASP-183,1,1,0,0,Transit,2019,SuperWASP,0,4.11177710,0.046320,16.477,1.470,159.55066,0.50200,0.210000,,268.72,1111,G9,5313.00,0.87,0.78,-0.310,[Fe/H],-0.209,4.45,14.900,1.68000,1.0000,
WASP-184 b,WASP-184,1,1,0,0,Transit,2019,WASP-South,0,5.18170000,0.062700,14.908,1.330,181.16310,0.57000,0.320000,0.000000,669.02,1480,G0 V,6000.00,1.65,1.23,0.120,[Fe/H],0.501,4.09,4.700,0.38000,4.5000,
WASP-185 b,WASP-185,1,1,0,0,Transit,2019,WASP-South,0,9.38755000,0.090400,14.011,1.250,311.47340,0.98000,0.660000,0.240000,,1160,G0 V,5900.00,1.50,1.12,-0.020,[Fe/H],0.412,4.13,6.600,0.47000,2.8000,
WASP-186 b,WASP-186,1,1,0,0,Transit,2020,SuperWASP,0,5.02679900,0.060000,12.442,1.110,1341.24260,4.22000,3.821000,0.330000,853.15,1378,F,6361.00,1.47,1.22,-0.080,[Fe/H],0.500,4.19,3.100,0.54600,15.6000,
WASP-187 b,WASP-187,1,1,0,0,Transit,2020,SuperWASP,0,5.14787800,0.065300,18.383,1.640,254.26400,0.80000,0.224000,0.000000,1594.76,1760,F,6150.00,2.83,1.54,0.000,[Fe/H],0.967,3.72,2.550,0.09600,15.3000,
WASP-189 b,WASP-189,1,1,0,0,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),0,2.72403300,0.050530,18.147,1.619,632.47853,1.99000,0.621987,0.000000,,3353,,8000.00,2.36,2.03,0.290,[Fe/H],1.262,3.90,0.730,0.23488,93.1000,
WASP-19 b,WASP-19,1,1,0,0,Transit,2009,SuperWASP,0,0.78883852,0.016520,15.861,1.415,366.77398,1.15400,0.506000,0.012600,3320.00,2113,G8 V,5616.00,1.01,0.97,0.040,[Fe/H],-0.043,4.42,6.400,1.33900,4.6300,10.50
WASP-190 b,WASP-190,1,1,0,0,Transit,2019,WASP-South,0,5.36775300,0.066300,12.890,1.150,317.83000,1.00000,0.815000,0.000000,747.13,1500,F6 IV-V,6400.00,1.60,1.35,-0.020,[Fe/H],0.691,4.17,,0.48000,13.3000,
WASP-192 b,WASP-192,1,1,0,0,Transit,2019,WASP-South,0,2.87867650,0.040800,13.787,1.230,731.00900,2.30000,1.620000,0.000000,471.14,1620,G0 V,5910.00,1.32,1.09,0.140,[Fe/H],0.282,4.24,5.700,0.67100,3.1000,
WASP-2 b,WASP-2,2,1,0,0,Transit,2007,SuperWASP,0,2.15217500,0.031440,12.117,1.081,295.89973,0.93100,0.914000,0.005400,492.00,1311,K1,5180.00,0.87,0.90,0.120,[Fe/H],-0.313,4.51,8.200,1.94000,0.9900,
WASP-20 b,WASP-20,2,1,0,0,Transit,2015,SuperWASP,0,4.89962840,0.060000,16.388,1.462,98.84100,0.31100,0.132000,0.000000,410.16,1379,F9,5940.00,1.39,1.20,-0.008,[Fe/H],0.338,4.23,7.000,0.63000,4.7500,
WASP-21 b,WASP-21,1,1,0,0,Transit,2010,SuperWASP,0,4.32248200,0.052000,11.990,1.070,95.34500,0.30000,0.320000,0.000000,705.04,1340,G3 V,5800.00,1.06,1.01,-0.220,[M/H],0.304,4.28,12.000,0.82700,1.5000,
WASP-22 b,WASP-22,1,1,0,0,Transit,2010,SuperWASP,0,3.53269000,0.047000,13.787,1.230,212.94610,0.67000,0.444000,0.020000,837.70,1502,G1 V,6000.00,1.24,1.46,-0.050,[Fe/H],0.245,4.50,3.000,1.08000,4.5000,16.00
WASP-23 b,WASP-23,1,1,0,0,Transit,2010,SuperWASP,0,2.94442560,0.037600,10.783,0.962,280.95000,0.88400,1.170000,0.062000,317.43,1077,,5150.00,0.77,0.78,-0.050,[Fe/H],-0.377,4.56,6.200,1.84000,2.2000,
WASP-24 b,WASP-24,3,1,0,0,Transit,2010,SuperWASP,0,2.34121000,0.036510,15.468,1.380,394.10920,1.24000,0.622000,0.000000,934.47,1772,,6075.00,1.42,1.43,0.000,[Fe/H],0.331,4.26,3.800,0.71000,7.0000,
WASP-25 b,WASP-25,1,1,0,0,Transit,2010,SuperWASP,0,3.76483000,0.047300,11.994,1.070,139.84520,0.44000,0.382000,0.000000,357.01,1210,,5750.00,0.80,0.67,-0.050,[Fe/H],-0.143,4.50,0.020,1.82000,2.9000,
WASP-26 b,WASP-26,2,1,0,0,Transit,2010,SuperWASP,0,2.75660000,0.040000,13.563,1.210,270.15550,0.85000,0.703000,0.000000,1225.53,1650,G0,6034.00,1.22,0.86,0.160,[Fe/H],0.287,4.44,6.000,0.66000,2.2000,
WASP-28 b,WASP-28,1,1,0,0,Transit,2014,SuperWASP,0,3.40883495,0.044200,13.664,1.219,282.54945,0.88900,0.651163,0.000000,724.65,1456,F8,6084.00,1.08,0.99,-0.200,[Fe/H],0.150,4.37,5.500,1.10178,3.2500,
WASP-29 b,WASP-29,1,1,0,0,Transit,2010,SuperWASP,0,3.92273000,0.045700,8.631,0.770,73.10090,0.23000,0.650000,0.030000,121.77,970,,4800.00,0.79,0.77,0.110,[Fe/H],-0.525,4.50,14.000,2.22000,1.5000,
WASP-3 b,WASP-3,3,1,0,0,Transit,2007,SuperWASP,0,1.84683000,0.031500,15.917,1.420,772.32690,2.43000,0.890000,0.000000,2664.90,2020,,6400.00,1.44,1.62,0.000,[Fe/H],0.434,4.25,2.100,0.77000,13.4000,
WASP-31 b,WASP-31,1,1,0,0,Transit,2010,SuperWASP,0,3.40590960,0.046590,17.363,1.549,151.91600,0.47800,0.172000,0.000000,485.22,1307,,6302.00,1.25,1.16,-0.200,[Fe/H],0.336,4.31,1.000,0.82851,7.9000,
