planet_name,hoststar_name,star_count,planet_count,moon_count,circumbinary_flag,discovery_method,discovery_year,discovery_facility,controversial_flag,orbital_period,orbit_semi_major_axis,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,planet_density,planet_orbital_eccentricity,planet_insolation_flux,planet_equilibrium_temperature,spectral_type,stellar_effective_temperature,stellar_radius,stellar_mass,stellar_metallicity,stellar_metallicity_ratio,stellar_luminosity,stellar_surface_gravity,stellar_age,stellar_density,stellar_rotational_velocity,stellar_rotational_period
HIP 65891 b,HIP 65891,1,1,0,0,Radial Velocity,2015,Multiple Observatories,0,1079.55726024,2.792660,12.700,1.140,1933.66969,6.08401,5.190000,0.128276,,,K0 III,5000.00,8.93,2.49,0.160,[Fe/H],1.650,2.90,,,2.5000,
HIP 67522 b,HIP 67522,1,1,0,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,6.95950300,,10.070,0.898,72.40000,0.22800,0.390000,0.059000,,1174,G1 V,5675.00,1.38,1.22,0.000,,0.243,4.20,0.017,0.65000,54.2000,1.42
HIP 67537 b,HIP 67537,1,1,0,0,Radial Velocity,2017,Multiple Observatories,0,2523.64713301,4.818835,12.300,1.100,4309.24472,13.55840,12.700000,0.586259,,,K1 III,4985.00,8.69,2.32,0.150,[Fe/H],1.617,2.85,,,2.3000,
HIP 67851 b,HIP 67851,1,2,0,0,Radial Velocity,2015,Multiple Observatories,0,88.87622241,0.482387,13.500,1.210,497.95749,1.56675,1.110000,0.063067,,,K0 III,4890.00,5.87,1.90,0.000,[Fe/H],1.207,3.04,,,1.8000,
HIP 67851 c,HIP 67851,1,2,0,0,Radial Velocity,2015,Multiple Observatories,0,3923.66089514,6.032077,12.600,1.130,2430.61722,7.64758,6.680000,0.356194,,,K0 III,4890.00,5.87,1.90,0.000,[Fe/H],1.207,3.04,,,1.8000,
HIP 70849 b,HIP 70849,2,1,0,0,Radial Velocity,2009,La Silla Observatory,0,17337.50000000,20.250000,12.500,1.120,2860.00000,9.00000,8.050000,0.715000,,,K7 V,4105.00,0.63,0.63,,,-1.048,4.62,3.000,3.41279,1.9300,
HIP 71135 b,HIP 71135,1,1,0,0,Radial Velocity,2019,Las Campanas Observatory,0,87.19000000,0.335000,4.550,0.406,18.80000,0.05915,1.100000,0.210000,,,M1,4146.00,0.68,0.66,,,-0.908,4.54,,2.52341,,
HIP 74890 b,HIP 74890,1,1,0,0,Radial Velocity,2016,Multiple Observatories,0,822.30000000,2.100000,13.300,1.180,762.79200,2.40000,1.780000,0.070000,,,K1 III,4850.00,5.77,1.74,0.200,[Fe/H],1.215,3.10,,,2.2000,
HIP 75056 A b,HIP 75056 A,2,1,0,0,Imaging,2021,Paranal Observatory,0,47000.00000000,30.000000,22.418,2.000,7945.71018,25.00000,3.880000,0.500000,,2300,A2 V,8610.00,1.65,1.92,,,1.129,4.34,0.012,0.67586,,
HIP 75092 b,HIP 75092,1,1,0,0,Radial Velocity,2021,Multiple Observatories,0,926.40000000,2.020000,13.500,1.200,568.91285,1.79000,1.270000,0.420000,,,K0 III,4891.00,4.53,1.28,-0.010,[Fe/H],1.020,3.09,4.300,,3.1000,
HIP 78530 b,HIP 78530,1,1,0,0,Imaging,2010,Gemini Observatory,0,,740.000000,12.000,1.070,7300.00000,23.00000,23.200000,,,2700,B9 V,10500.00,2.11,2.50,-0.500,[Fe/H],1.368,4.13,0.005,0.32956,144.7400,
HIP 79098 AB b,HIP 79098 AB,2,1,0,1,Imaging,2019,Paranal Observatory,0,,345.000000,12.100,1.080,6515.51500,20.50000,20.200000,,,2450,B9 V,9193.75,,3.75,,,,,0.010,,,
HIP 79431 b,HIP 79431,1,1,0,0,Radial Velocity,2009,W. M. Keck Observatory,0,111.70000000,0.360000,13.400,1.190,667.41500,2.10000,1.520000,0.290000,,,M3 V,3191.00,0.48,0.49,0.400,[Fe/H],-1.549,4.76,,6.12742,,
HIP 8541 b,HIP 8541,2,2,0,0,Radial Velocity,2016,Multiple Observatories,0,1852.14387204,3.736626,12.600,1.120,2621.63107,8.24857,7.200000,0.360464,,,K2 III/IV,4670.00,7.83,2.01,-0.150,[Fe/H],1.405,2.70,,,1.3000,
HIP 86221 b,HIP 86221,1,1,0,0,Radial Velocity,2021,Cerro Tololo Inter-American Observatory,0,2.22400000,0.031000,14.000,1.250,225.65817,0.71000,0.452000,0.086000,,,K5 V,,,0.79,,,,,,,,
HIP 90988 b,HIP 90988,1,1,0,0,Radial Velocity,2021,Multiple Observatories,0,455.73815500,1.359652,13.400,1.190,667.09663,2.09892,1.520000,0.080562,,,K1 III,4883.00,3.94,1.61,0.170,[Fe/H],0.890,3.32,4.550,,3.5000,
HIP 91258 b,HIP 91258,1,1,0,0,Radial Velocity,2013,Haute-Provence Observatory,0,5.05050000,0.060000,13.700,1.230,346.43470,1.09000,0.740000,0.020000,,,G5 V,5519.00,0.89,0.97,0.230,[Fe/H],-0.222,4.53,2.400,1.91925,3.5000,
HIP 94235 b,HIP 94235,2,1,0,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,7.71305700,0.078700,3.000,0.268,379.00000,1.19247,,0.320000,219.28,1060,G V,5991.00,1.08,1.09,0.000,[m/H],0.138,4.46,0.118,1.19890,24.4000,2.24
HIP 948 b,HIP 948,1,1,0,0,Radial Velocity,2022,Multiple Observatories,0,24955.45756484,14.918530,12.100,1.080,6410.69721,20.17031,19.900000,0.230499,,,,4497.00,0.69,0.71,,,-0.758,4.61,,3.06715,,
HIP 97166 b,HIP 97166,1,2,0,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,10.28891000,0.089000,2.740,0.244,20.00000,0.06293,5.300000,0.160000,33.75,757,K0 V,5198.00,0.84,0.90,0.270,[Fe/H],-0.331,4.41,3.330,2.15400,,
HIP 97166 c,HIP 97166,1,2,0,0,Radial Velocity,2021,Multiple Observatories,0,16.84000000,0.124000,3.120,0.278,9.90000,0.03115,1.790000,0.250000,,642,K0 V,5198.00,0.84,0.90,0.270,[Fe/H],-0.331,4.41,3.330,2.15400,,
HIP 97233 b,HIP 97233,1,1,0,0,Radial Velocity,2014,Multiple Observatories,0,1062.26505974,2.490819,12.100,1.080,6399.22435,20.13421,19.800000,0.630174,,,K0,5020.00,5.34,1.81,0.290,[Fe/H],1.204,3.26,,,2.2000,
HN Peg b,HN Peg,1,1,0,0,Imaging,2006,Spitzer Space Telescope,0,,773.000000,11.777,1.051,6991.57000,21.99870,23.500000,,,,G0 V,6186.00,1.01,1.08,-0.036,[M/H],0.060,4.48,0.300,1.47538,10.0000,4.50
HR 2562 b,HR 2562,1,1,0,0,Imaging,2016,Gemini Observatory,0,,20.300000,12.442,1.110,9534.90000,30.00000,27.200000,,,1200,F5 V,6785.00,1.47,1.30,0.020,[M/H],0.531,4.40,0.600,0.70259,43.5100,
HR 5183 b,HR 5183,2,1,0,0,Radial Velocity,2019,Multiple Observatories,0,27000.00000000,18.000000,13.100,1.170,1026.59090,3.23000,2.510000,0.840000,,171,G0 V,5794.00,1.53,1.07,0.100,[Fe/H],0.397,4.02,7.700,0.43147,3.0000,
HR 810 b,HR 810,1,1,0,0,Radial Velocity,1999,La Silla Observatory,0,302.79999000,0.920000,13.300,1.190,721.47410,2.27000,1.690000,0.140000,,,G0V,6167.00,1.13,1.34,0.160,[Fe/H],0.253,4.46,2.720,1.05010,6.5000,7.90
HR 858 b,HR 858,2,3,0,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,3.58599000,0.048000,2.085,0.186,5.00000,0.01570,3.030000,0.300000,989.70,1572,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,
HR 858 c,HR 858,2,3,0,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,5.97293000,0.067400,1.939,0.173,4.42000,0.01390,3.330000,0.190000,512.00,1326,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,
HR 858 d,HR 858,2,3,0,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,11.23000000,0.102700,2.164,0.193,5.32000,0.01680,2.880000,0.280000,217.00,1075,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,
HR 8799 b,HR 8799,1,4,0,0,Imaging,2008,Gemini Observatory,0,170000.00000000,68.000000,13.000,1.200,2000.00000,7.00000,5.000000,,,1200,A5 V,7204.58,1.49,1.50,-0.470,[M/H],0.692,4.30,0.060,0.68153,34.7900,
HR 8799 c,HR 8799,1,4,0,0,Imaging,2008,Gemini Observatory,0,69000.00000000,38.000000,13.000,1.200,3000.00000,10.00000,7.500000,0.500000,,1200,A5 V,7204.58,1.49,1.50,-0.470,[M/H],0.692,4.30,0.060,0.68153,34.7900,
HR 8799 d,HR 8799,1,4,0,0,Imaging,2008,W. M. Keck Observatory,0,37000.00000000,24.000000,13.000,1.200,3000.00000,10.00000,7.500000,0.600000,,1300,A5 V,7204.58,1.49,1.50,-0.470,[M/H],0.692,4.30,0.060,0.68153,34.7900,
HR 8799 e,HR 8799,1,4,0,0,Imaging,2010,W. M. Keck Observatory,0,20815.60000000,16.400000,13.115,1.170,3178.30000,10.00000,7.740000,0.150000,,1150,A5,7400.00,1.49,1.51,-0.500,[Fe/H],0.733,4.00,0.030,0.68153,34.7900,
HU Aqr AB b,HU Aqr,2,2,0,1,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,1,2390.00000000,3.600000,12.800,1.140,1875.19700,5.90000,4.910000,0.000000,,,,5952.00,,0.88,,,,,,,,
HU Aqr AB c,HU Aqr,2,2,0,1,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory,1,4368.00000000,5.400000,12.900,1.150,1430.23500,4.50000,3.660000,0.510000,,,,5952.00,,0.88,,,,,,,,
IC 4651 9122 b,IC 4651 9122,1,1,0,0,Radial Velocity,2018,La Silla Observatory,0,734.00000000,2.038000,12.700,1.140,2002.32900,6.30000,5.370000,0.180000,,,,4740.10,10.27,2.10,0.120,[Fe/H],1.636,2.52,1.140,,,
K2-10 b,K2-10,1,1,0,0,Transit,2015,K2,0,19.30440000,0.137000,3.840,0.343,27.00000,0.08495,2.600000,0.310000,54.10,703,F9,5620.00,0.98,0.92,-0.070,[Fe/H],-0.101,4.50,,1.38000,3.0000,
K2-100 b,K2-100,1,1,0,0,Transit,2016,K2,0,1.67390350,0.030100,3.880,0.346,21.80000,0.06859,2.040000,0.000000,1915.00,1841,G0 V,5945.00,1.24,1.15,0.220,[Fe/H],0.250,4.33,0.750,0.85000,14.0000,4.30
K2-101 b,K2-101,1,1,0,0,Transit,2016,K2,0,14.67624290,0.112400,2.000,0.178,4.66000,0.01470,3.200000,0.100000,,618,K3,4927.00,0.76,0.82,0.070,[Fe/H],-0.595,4.59,0.790,2.92000,3.9000,10.60
K2-102 b,K2-102,1,1,0,0,Transit,2016,K2,0,9.91561500,,1.300,0.116,2.24000,0.00705,5.600000,0.100000,,,K5,4695.00,0.71,0.77,0.140,[Fe/H],-0.657,4.53,0.790,3.03000,3.0000,11.50
K2-104 b,K2-104,1,1,0,0,Transit,2016,K2,0,1.97419540,0.024200,1.790,0.160,3.86000,0.01210,3.700000,0.090000,62.10,798,M2.5e,3712.00,0.48,0.51,0.180,[Fe/H],-1.434,4.78,0.790,5.56106,2.6000,9.30
K2-105 b,K2-105,1,1,0,0,Transit,2017,K2,0,8.26699280,0.083300,3.590,0.320,30.00000,0.09439,3.560000,,95.58,928,K1,5636.00,0.97,1.05,0.230,[Fe/H],-0.189,4.49,0.600,1.72948,1.7600,
K2-107 b,K2-107,1,1,0,0,Transit,2017,K2,0,3.31395900,0.047500,15.980,1.426,266.97720,0.84000,0.350000,0.000000,,1649,F9 IV,6061.00,1.81,1.30,0.140,[Fe/H],0.464,4.04,4.250,0.45700,4.6000,
K2-108 b,K2-108,1,1,0,0,Transit,2017,K2,0,4.73399900,0.058100,5.330,0.476,59.40000,0.18689,2.220000,0.180000,762.00,1360,,5599.00,1.76,1.17,0.360,[Fe/H],0.405,4.02,7.800,0.80600,2.0000,
K2-11 b,K2-11,1,1,0,0,Transit,2015,K2,0,39.93767000,0.225700,7.550,0.674,44.40000,0.14000,0.567000,,9.84,734,G8,5433.00,5.15,1.35,-0.120,[Fe/H],-0.310,4.56,,2.11399,,
K2-110 b,K2-110,1,1,0,0,Transit,2017,K2,0,13.86387000,0.102700,2.560,0.228,16.70000,0.05254,5.200000,0.079000,,575,K3 V,4950.00,0.71,0.75,-0.210,[Fe/H],-0.567,4.61,8.000,3.51500,,
K2-111 b,K2-111,1,2,0,0,Transit,2017,K2,0,5.35180000,0.057000,1.820,0.162,5.29000,0.01664,4.800000,0.130000,,1309,G2,5775.00,1.25,0.84,-0.460,[Fe/H],0.279,4.25,12.300,0.60000,1.1000,29.20
K2-111 c,K2-111,1,2,0,0,Radial Velocity,2020,Multiple Observatories,0,15.67850000,0.116600,3.370,0.301,11.30000,0.03555,1.620000,0.070000,,,G2,5775.00,1.25,0.84,-0.460,[Fe/H],0.119,4.25,12.300,0.60000,1.1000,29.20
K2-113 b,K2-113,1,1,0,0,Transit,2017,K2,0,5.81768500,0.064200,12.140,1.083,410.00070,1.29000,1.970000,0.000000,170.93,1098,G,5660.00,1.24,1.04,0.270,[Fe/H],0.009,4.27,5.900,0.98700,2.0600,
K2-114 b,K2-114,1,1,0,0,Transit,2017,K2,0,11.39093110,0.094300,10.447,0.932,638.83510,2.01000,3.080000,0.081000,40.00,701,,4920.00,0.82,0.86,0.410,[Fe/H],-0.445,4.54,7.200,2.17000,,
K2-115 b,K2-115,1,1,0,0,Transit,2017,K2,0,20.27261500,0.143000,12.060,1.076,266.97720,0.84000,0.820000,0.137000,33.06,619,G4,5657.00,0.88,0.95,-0.100,[Fe/H],-0.145,4.53,10.700,2.66300,,
K2-116 b,K2-116,1,1,0,0,Transit,2017,K2,0,4.65541100,0.048000,0.690,0.062,0.25700,0.00081,4.300000,0.060000,78.60,,,4348.35,0.67,0.69,0.010,[Fe/H],-0.746,4.64,,2.18936,,
K2-117 b,K2-117,1,2,0,0,Transit,2017,K2,0,1.29160000,0.018900,2.030,0.181,4.78000,0.01500,3.140000,0.060000,145.80,868,M1.0 V,3778.00,0.51,0.54,-0.050,[Fe/H],-1.357,4.75,,5.29700,,
K2-117 c,K2-117,1,2,0,0,Transit,2017,K2,0,5.44401700,0.049200,2.060,0.184,4.90000,0.01540,3.080000,0.150000,21.40,537,M1.0 V,3778.00,0.51,0.54,-0.050,[Fe/H],-1.357,4.75,,5.29700,,
K2-118 b,K2-118,1,1,0,0,Transit,2017,K2,0,50.92092000,0.245000,2.540,0.227,6.99000,0.02200,2.340000,0.200000,4.30,,,4726.29,0.73,0.76,0.129,[M/H],-0.561,4.53,,2.22691,,
K2-119 b,K2-119,1,1,0,0,Transit,2017,K2,0,7.72728300,0.069800,2.530,0.226,6.94000,0.02180,2.350000,0.070000,54.90,666,,4740.00,0.71,0.76,-0.050,[Fe/H],-0.685,4.62,,2.25100,,
K2-12 b,K2-12,1,1,0,0,Transit,2015,K2,0,8.28212000,0.080200,2.330,0.208,6.04000,0.01900,2.620000,,310.00,1003,F9,5800.00,1.01,1.01,0.030,[Fe/H],0.072,4.30,,0.84625,,
K2-120 b,K2-120,1,1,0,0,Transit,2017,K2,0,9.56274200,0.078000,2.010,0.179,4.70000,0.01480,3.180000,0.140000,35.10,,,4349.90,0.67,0.69,-0.303,[M/H],-0.664,,,,,
K2-121 b,K2-121,1,1,0,0,Transit,2017,K2,0,5.18575390,0.062900,7.520,0.671,44.10000,0.13900,0.570000,0.220000,89.50,738,,4690.00,0.67,0.69,-0.160,[Fe/H],-0.745,4.63,,6.53200,,
K2-122 b,K2-122,2,1,0,0,Transit,2017,K2,0,2.21930230,0.037300,1.160,0.103,1.65000,0.00521,5.810000,0.210000,79.90,769,M0,4009.00,0.59,0.63,0.320,[Fe/H],-1.102,4.69,,3.65184,,
K2-123 b,K2-123,1,1,0,0,Transit,2017,K2,0,30.95152400,0.164900,2.760,0.246,8.05000,0.02530,2.100000,0.060000,2.90,338,,4035.00,0.59,0.62,0.030,[Fe/H],-1.143,4.69,,4.51100,,
K2-124 b,K2-124,1,1,0,0,Transit,2017,K2,0,6.41365100,0.049000,2.900,0.259,8.75000,0.02750,1.970000,0.080000,8.70,442,,3570.00,0.39,0.39,0.023,[Fe/H],-1.659,4.86,,9.58000,,
K2-125 b,K2-125,1,1,0,0,Transit,2017,K2,0,21.75026400,0.121000,2.180,0.194,5.39000,0.01700,2.860000,0.080000,2.00,,,3654.47,0.40,0.49,,,-1.641,4.83,,8.77693,,
K2-126 b,K2-126,1,1,0,0,Transit,2017,K2,0,7.38565500,0.065600,1.970,0.176,4.54000,0.01430,3.260000,0.060000,35.30,601,,4339.00,0.65,0.69,0.020,[Fe/H],-0.878,4.66,,2.90300,,
K2-127 b,K2-127,1,1,0,0,Transit,2017,K2,0,3.58816300,0.041100,8.370,0.747,52.90000,0.16700,0.496000,0.120000,105.60,809,,4575.00,0.66,0.72,-0.110,[Fe/H],-0.254,4.65,,2.21100,,
K2-128 b,K2-128,1,1,0,0,Transit,2017,K2,0,5.67581900,0.056000,1.420,0.127,2.60000,0.00819,4.990000,0.230000,68.80,,,4469.51,0.78,0.71,-0.260,[Fe/H],-0.822,4.70,,3.00478,,
K2-129 b,K2-129,1,1,0,0,Transit,2017,K2,0,8.23949300,0.057000,1.040,0.093,1.12000,0.00352,5.470000,0.130000,4.50,,,3459.09,0.36,0.36,,,-1.828,4.87,,10.66281,,
K2-13 b,K2-13,1,1,0,0,Transit,2015,K2,0,39.91488000,0.211400,1.890,0.169,4.23000,0.01330,3.440000,,22.80,511,G3,5698.00,0.78,0.80,-0.540,[Fe/H],-0.135,4.33,,1.72012,,
K2-130 b,K2-130,1,1,0,0,Transit,2017,K2,0,2.49412000,0.032000,1.250,0.112,2.10000,0.00660,5.910000,0.170000,136.40,,,4356.47,0.74,0.70,-0.240,[Fe/H],-0.799,4.62,,2.72247,,
K2-131 b,K2-131,1,1,0,0,Transit,2017,K2,0,0.36931100,0.009500,1.500,0.134,6.30000,0.01982,7.700000,0.000000,3842.25,2062,,5200.00,0.81,0.84,-0.020,[Fe/H],-0.479,4.60,,2.71000,4.3000,9.37
K2-132 b,K2-132,1,1,0,0,Transit,2017,K2,0,9.17510000,0.091600,14.572,1.300,155.73670,0.49000,0.277000,0.290000,293.37,1586,,4840.00,3.85,1.08,-0.010,[Fe/H],0.943,3.30,8.500,0.02640,3.3600,
K2-133 b,K2-133,1,4,0,0,Transit,2017,K2,0,3.07133000,0.031940,1.340,0.120,2.36000,0.00742,5.390000,,,,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,
K2-133 c,K2-133,1,4,0,0,Transit,2017,K2,0,4.86784000,0.043410,1.603,0.143,3.20000,0.01010,4.270000,,,,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,
K2-133 d,K2-133,1,4,0,0,Transit,2017,K2,0,11.02454000,0.074870,2.003,0.179,4.67000,0.01470,3.190000,,,,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,
K2-133 e,K2-133,1,4,0,0,Transit,2019,K2,0,26.58410000,0.134600,1.730,0.154,3.64000,0.01150,3.860000,,1.80,296,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,
K2-136 b,K2-136,2,3,0,0,Transit,2017,K2,0,7.97529200,,0.990,0.088,0.93700,0.00295,5.310000,0.100000,,553,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00
K2-136 c,K2-136,2,3,0,0,Transit,2017,K2,0,17.30713700,0.117280,2.910,0.260,8.80000,0.02770,1.960000,0.130000,11.90,425,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00
K2-136 d,K2-136,2,3,0,0,Transit,2017,K2,0,25.57506500,,1.450,0.129,2.70000,0.00849,4.870000,0.140000,,373,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,15.00
K2-137 b,K2-137,1,1,0,0,Transit,2017,K2,0,0.17971900,0.005800,0.640,0.057,158.91500,0.50000,,0.000000,,1471,M3 V,3697.00,0.29,0.46,-0.059,[Fe/H],-1.484,5.00,,13.00000,,
K2-138 b,K2-138,1,6,0,0,Transit,2017,K2,0,2.35309000,0.033850,1.510,0.135,3.10000,0.00975,4.900000,0.048000,486.00,1157,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-138 c,K2-138,1,6,0,0,Transit,2017,K2,0,3.56004000,0.044610,2.299,0.205,6.31000,0.01985,2.800000,0.045000,279.00,1012,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-138 d,K2-138,1,6,0,0,Transit,2017,K2,0,5.40479000,0.058930,2.390,0.213,7.92000,0.02492,3.100000,0.043000,160.00,888,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-138 e,K2-138,1,6,0,0,Transit,2017,K2,0,8.26146000,0.078200,3.390,0.302,12.97000,0.04081,1.800000,0.077000,91.10,757,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-138 f,K2-138,1,6,0,0,Transit,2017,K2,0,12.75758000,0.104470,2.904,0.259,1.63000,0.00513,0.400000,0.062000,51.00,653,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-138 g,K2-138,1,6,0,0,Transit,2021,K2,0,41.96797000,0.231090,3.013,0.269,4.32000,0.01359,0.900000,0.059000,9.29,445,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,
K2-139 b,K2-139,1,1,0,0,Transit,2017,K2,0,28.38061900,0.179600,9.110,0.813,123.00021,0.38700,0.910000,0.120000,,524,K0 V,5370.00,0.88,0.96,0.240,[Fe/H],-0.299,4.54,1.800,2.47700,2.8000,17.24
K2-14 b,K2-14,1,1,0,0,Transit,2015,K2,0,8.36802000,0.062700,4.810,0.429,20.70000,0.06500,1.020000,0.140000,8.00,488,M0,3789.00,0.45,0.47,-0.370,[Fe/H],-0.968,4.89,,3.24180,,
K2-140 b,K2-140,1,1,0,0,Transit,2017,K2,0,6.56918800,0.068000,13.563,1.210,295.58042,0.93000,0.660000,0.000000,204.00,962,G6 V,5585.00,1.06,0.96,0.100,[Fe/H],-0.049,4.40,9.800,1.13300,3.6000,14.60
K2-141 b,K2-141,1,2,0,0,Transit,2018,K2,0,0.28032440,0.007160,1.510,0.135,5.08000,0.01598,8.200000,0.000000,,2039,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,14.03
K2-141 c,K2-141,1,2,0,0,Transit,2018,K2,0,7.74850000,,7.000,0.624,7.40000,0.02328,,0.000000,,,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,14.03
K2-146 b,K2-146,1,2,0,0,Transit,2018,K2,0,2.64460000,0.024800,2.050,0.183,5.77000,0.01816,3.690000,0.129000,20.70,534,M3.0 V,3385.00,0.33,0.33,-0.020,[Fe/H],-1.824,4.90,5.000,13.10000,2.0000,
K2-146 c,K2-146,1,2,0,0,Transit,2019,K2,0,4.00498000,0.032700,2.190,0.195,7.49000,0.02358,3.920000,0.075000,,,M3.0 V,3385.00,0.33,0.33,-0.020,[Fe/H],-1.824,4.91,5.000,13.10000,2.0000,
K2-147 b,K2-147,1,1,0,0,Transit,2018,K2,0,0.96191800,0.015900,0.730,0.065,0.31500,0.00099,4.450000,,200.10,,,3775.00,0.31,0.58,-0.100,[Fe/H],-1.292,5.00,,4.23530,,
K2-148 b,K2-148,2,3,0,0,Transit,2018,K2,0,4.38395000,0.045400,1.330,0.119,2.33000,0.00733,5.440000,,48.80,,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,
K2-148 c,K2-148,2,3,0,0,Transit,2018,K2,0,6.92260000,0.061600,1.730,0.154,3.64000,0.01150,3.860000,,26.50,,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,
K2-148 d,K2-148,2,3,0,0,Transit,2018,K2,0,9.75790000,0.077400,1.640,0.146,3.33000,0.01050,4.150000,,16.80,,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,
K2-149 b,K2-149,1,1,0,0,Transit,2018,K2,0,11.33200000,0.083000,1.640,0.146,3.33000,0.01050,4.150000,,7.00,,M1.0 V,3745.00,0.57,0.59,0.110,[Fe/H],-1.310,4.71,,3.93217,,
K2-15 b,K2-15,1,1,0,0,Transit,2015,K2,0,11.81040000,0.091000,2.480,0.221,6.71000,0.02110,2.420000,,48.00,676,G8,5131.00,0.68,0.72,-0.460,[Fe/H],-0.453,4.57,,1.89114,,
K2-150 b,K2-150,1,1,0,0,Transit,2018,K2,0,10.59357000,0.072700,2.000,0.178,4.66000,0.01470,3.200000,,4.90,,M2.5 V,3499.00,0.44,0.46,0.090,[Fe/H],-1.585,4.82,,8.03564,,
K2-151 b,K2-151,2,1,0,0,Transit,2018,K2,0,3.83547600,0.037300,1.490,0.133,2.83000,0.00889,4.700000,,20.80,566,M1.5 V,3695.00,0.45,0.47,-0.190,[Fe/H],-1.553,4.80,,6.73600,,
K2-152 b,K2-152,1,1,0,0,Transit,2018,K2,0,32.64790000,0.171600,2.290,0.204,5.86000,0.01840,2.680000,,2.90,337,M0.0 V,4044.00,0.61,0.63,0.120,[Fe/H],-1.060,4.67,,3.49448,,
K2-153 b,K2-153,1,1,0,0,Transit,2018,K2,0,7.51574000,0.061400,2.000,0.178,4.66000,0.01470,3.200000,,11.80,497,M3.0 V,3845.00,0.53,0.55,-0.090,[Fe/H],-1.367,4.73,,4.87969,,
K2-154 b,K2-154,1,2,0,0,Transit,2018,K2,0,3.67626000,0.040500,1.990,0.178,4.62000,0.01450,3.220000,,57.50,715,M0.0 V,4097.00,0.63,0.65,0.210,[Fe/H],-1.018,4.65,,3.24997,,
K2-154 c,K2-154,1,2,0,0,Transit,2018,K2,0,7.95486000,0.067700,2.070,0.185,4.94000,0.01550,3.060000,,20.50,552,M0.0 V,4097.00,0.63,0.65,0.210,[Fe/H],-1.018,4.65,,3.24997,,
K2-155 b,K2-155,1,3,0,0,Transit,2018,K2,0,6.34200000,0.056200,1.800,0.161,3.89000,0.01230,3.670000,,19.90,708,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,34.80
K2-155 c,K2-155,1,3,0,0,Transit,2018,K2,0,13.85000000,0.094600,2.600,0.232,7.27000,0.02290,2.270000,,7.00,583,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,34.80
K2-155 d,K2-155,1,3,0,0,Transit,2018,K2,0,40.71800000,0.193700,1.900,0.170,4.27000,0.01340,3.420000,,1.67,381,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,34.80
K2-156 b,K2-156,1,1,0,0,Transit,2018,K2,0,0.81314300,0.014900,1.100,0.098,1.37000,0.00430,5.660000,,,1347,,4460.00,0.62,0.66,-0.330,[Fe/H],-0.838,4.70,,2.68452,1.8000,
K2-157 b,K2-157,1,1,0,0,Transit,2018,K2,0,0.36526100,,1.000,0.089,0.97200,0.00306,5.340000,,,,,5456.00,0.88,0.94,0.130,[Fe/H],-0.210,4.50,,1.67926,,
